29
73	圭	2
353	型	2
320	報道	2
11	声	4
354	変化	2
207	外交	3
355	外部	2
397	多様	2
122	大会	2
356	大半	3
421	大学	2
398	大手	4
174	大統領	8
295	大量	6
12	奇跡	2
74	妥当	2
175	委員	7
176	姿勢	6
75	守備	2
177	安倍	9
296	安全	3
208	完全	7
13	完敗	2
277	官	2
246	実現	4
232	宣言	3
278	寅	2
76	対応	3
233	対話	2
431	専門	2
297	就任	3
279	尽力	2
123	展開	4
124	岳	3
280	州	2
432	市場	2
234	平壌	2
422	年間	2
357	広告	2
209	廃棄	3
298	強化	3
210	強調	2
299	弾道	2
125	当時	2
399	影響	3
423	役割	2
321	従業	2
126	必要	8
178	恩	5
281	情報	4
127	想定	2
77	意味	5
78	意図	2
211	意欲	5
128	意見	2
212	懸念	3
213	成果	3
79	戦	3
282	戦略	3
214	手腕	2
262	批判	4
80	技術	6
215	担保	2
263	担当	5
179	拉致	5
400	拠点	2
247	指摘	3
81	採用	3
283	接触	2
358	措置	2
359	提供	5
424	提出	2
216	提起	2
284	支持	2
401	支援	2
82	改善	2
83	攻撃	3
217	政府	6
285	政権	2
300	政策	2
360	方向	3
218	方針	4
3	日本	14
219	早期	3
84	明らか	4
85	明確	4
86	時代	4
248	晋	4
322	更新	2
129	最初	4
402	最大	2
403	最大手	2
220	最大限	4
87	最後	2
404	最新	2
130	最終	5
361	最高	4
14	朗	2
180	朝	7
249	朝鮮	2
301	期待	2
250	未明	2
88	本田	2
131	柴崎	2
181	核	4
182	検討	2
362	業界	3
312	構え	2
132	機能	5
89	欧州	2
183	正	5
184	正常	4
251	歩	3
425	比較	2
252	池田	2
185	決意	3
363	注意	2
364	注目	3
405	活用	2
90	流れ	3
15	海外	2
221	済み	4
302	準備	2
222	焦点	2
365	特定	3
91	状況	4
133	狙い	2
366	独自	2
433	獲得	2
92	現在	3
16	現地	3
17	理由	6
186	用意	4
309	発効	2
303	発表	4
18	監督	3
286	目的	2
187	直接	4
264	相	2
19	相手	3
93	瞬間	2
434	知能	2
435	知識	2
367	研究	2
304	破壊	2
20	確率	2
265	確認	4
253	示唆	2
155	社	3
368	社長	2
369	種類	2
223	立場	3
436	競争	2
134	答え	3
94	策	3
406	管理	2
95	簡単	2
188	米	9
254	米国	5
266	約束	2
370	終了	2
407	経営	3
189	経済	5
96	結果	5
287	継続	2
255	維持	3
156	編集	2
256	署名	2
21	考え	3
97	自ら	4
135	自由	2
408	自社	2
98	自身	2
224	行動	4
136	表情	2
190	表明	4
371	表示	2
4	西野	5
225	要請	4
409	規模	2
410	親会社	2
191	解決	6
226	解除	2
257	言及	2
99	言葉	6
411	言語	2
426	計算	2
323	記事	3
227	記者	4
310	訪問	2
288	訪米	2
372	設定	2
100	評価	3
101	試合	4
137	認識	3
22	説明	7
138	課題	4
192	調整	3
412	調査	2
139	議論	3
102	負	2
324	責任	5
413	買収	2
427	費用	2
267	貿易	3
228	足並み	2
258	転換	2
373	追加	2
374	追跡	2
140	途中	3
103	通り	2
375	通知	2
289	連合	2
104	連携	3
141	進め方	2
268	過去	2
229	道筋	2
23	選手	5
105	部分	3
230	配慮	2
106	酒井	2
142	重要	10
143	重視	2
193	長	6
6	長友	4
157	開催	3
376	開発	3
24	限り	3
144	限界	2
107	陣	3
231	非核	5
290	韓国	2
269	頼み	3
194	首相	9
195	首脳	9
25	驚き	2
437	高額	2
414	魅力	2
26	麻也	3
27	％	2
28	０	6
29	１	5
30	２	6
31	３	4
145	４	3
291	４月	2
146	５	3
32	６	4
259	７	5
33	８	5
34	９	4
311	Ｇ７	2
35	Ｗ杯	2
